price_eur;boat_type;year_built;condition;length_m;displacement_kg;certified_number_of_people;number_of_cabins;number_of_beds;fuel_capacity_l;engine_hours_h;number_of_views_last_7_days
210000;Hardtop;2015;very good;11,66;6800;8;2;4;520;200;90
211800;Sport Boat;2017;very good;11,5;6400;12;1;2;600;300;187
22500;Cabin Boat;1992;very good;8,8;4000;8;1;1;420;780;263
225000;Motor Yacht;2017;as new;10,07;4100;8;2;6;250;320;169
225000;Motor Yacht;1999;very good;17,5;32900;12;4;8;5000;390;524
225000;House Boat;1998;very good;14,3;23000;10;2;4;2100;2955;471
229000;Motor Yacht;2002;good;13,78;17000;10;2;4;1400;980;171
234800;Motor Yacht;2009;very good;13,2;12000;12;3;2;952;435;157
235000;Pilothouse;2016;as new;12;12000;8;2;1;400;12;87
239000;Hardtop;2015;very good;10,9;6000;9;2;4;750;20;346
239000;Hardtop;2008;good;14,35;12599;10;2;4;832;580;219
24900;Motor Yacht;1997;very good;8,45;2700;8;1;2;280;380;527
245000;Motor Yacht;2011;good;12,26;1460;10;2;4;950;450;183
245000;Flybridge;2009;good;12,9;12900;10;2;4;1100;449;234
248000;Hardtop;2012;very good;13,5;10000;2;3;4;900;320;350
249000;Motor Yacht;2001;very good;9,5;3800;8;1;2;400;147;146
249000;Motor Yacht;1998;good;14,1;22000;12;2;4;1750;1200;162
249000;Hardtop;2017;very good;9,99;6000;8;2;4;400;280;258
25000;Cabin Boat;2005;well-groomed;7,65;2000;7;1;3;200;500;191
25000;Cabin Boat;1999;good;9;3000;10;1;3;413;260;423
25000;Flybridge;1994;very good;9,9;5400;8;1;1;500;1290;746
25000;Cabin Boat;2006;well-groomed;7,42;1900;5;2;4;130;1500;160
254000;Motor Yacht;2005;very good;12,5;9500;12;2;4;1000;1380;434
256800;Sport Boat;2020;as new;11,63;6060;12;1;2;758;10;104
259000;Motor Yacht;2001;good;16,61;22000;12;3;6;2640;720;63
26500;Cabin Boat;1996;well-groomed;8,95;3500;8;2;4;220;580;270
260000;Hardtop;2007;good;14,99;16500;10;2;4;1310;530;177
265000;Hardtop;2017;very good;13,29;8956;12;2;4;750;100;379
269000;Trawler;2017;as new;10,7;8500;10;2;4;240;65;97
269000;Flybridge;2003;good;15,79;23000;10;3;6;2200;625;185
269000;Flybridge;2012;well-groomed;11,98;10500;8;3;5;1000;400;408
274999;Motor Yacht;2019;new;11,4;8000;10;3;6;600;20;159
275000;Motor Yacht;2007;as new;14,93;156320;12;2;2;1700;240;197
279000;Hardtop;2016;very good;13,29;8600;8;2;4;750;340;128
279000;Hardtop;2004;good;16,99;19277;10;3;6;19277;650;118
28000;Trawler;1975;very good;12,86;12000;12;2;6;800;2200;199
28500;Motor Yacht;1998;well-groomed;8,83;4040;10;2;4;250;695;241
